Date,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
01/01/2020,1.6421,5.71,96.445,3230.78,13.78
01/02/2020,1.6305,5.78,96.846,3257.85,12.47
01/03/2020,1.6075,5.47,96.838,3234.85,14.02
01/04/2020,,,,,
01/05/2020,,,,,
01/06/2020,1.6141,5.72,96.671,3246.28,13.85
01/07/2020,1.6148,5.48,97.005,3237.18,13.79
01/08/2020,1.6287,5.39,97.299,3253.05,13.45
01/09/2020,1.6303,5.27,97.45,3274.7,12.54
01/10/2020,1.6263,5.12,97.356,3265.35,12.56
01/11/2020,,,,,
01/12/2020,,,,,
01/13/2020,1.6355,5.13,97.345,3288.13,12.32
01/14/2020,1.6282,5.05,97.372,3283.15,12.39
01/15/2020,1.6208,5.06,97.229,3289.29,12.42
01/16/2020,1.6162,4.98,97.32,3316.81,12.32
01/17/2020,1.6179,4.96,97.606,3329.62,12.1
01/18/2020,,,,,
01/19/2020,,,,,
01/20/2020,1.6179,4.92,97.606,3329.62,12.1
01/21/2020,1.5972,4.97,97.531,3320.79,12.85
01/22/2020,1.591,4.88,97.527,3321.75,12.91
01/23/2020,1.5871,4.97,97.693,3325.54,12.98
01/24/2020,1.5767,4.92,97.853,3295.47,14.56
01/25/2020,,,,,
01/26/2020,,,,,
01/27/2020,1.5519,5.16,97.956,3243.63,18.23
01/28/2020,1.5699,5.14,98.018,3276.24,16.28
01/29/2020,1.5546,5.01,97.991,3273.4,16.39
01/30/2020,1.5405,5.12,97.867,3283.66,15.49
01/31/2020,1.4979,5.42,97.39,3225.52,18.84
02/01/2020,,,,,
02/02/2020,,,,,
02/03/2020,1.5131,5.37,97.8,3248.92,17.97
02/04/2020,1.5415,5.19,97.961,3297.59,16.05
02/05/2020,1.5587,4.9,98.301,3334.69,15.15
02/06/2020,1.5632,4.9,98.496,3345.78,14.96
02/07/2020,1.5405,5.0,98.684,3327.71,15.47
02/08/2020,,,,,
02/09/2020,,,,,
02/10/2020,1.5271,5.01,98.832,3352.09,15.04
02/11/2020,1.5443,4.94,98.721,3357.75,15.18
02/12/2020,1.5557,4.87,99.049,3379.45,13.74
02/13/2020,1.5536,5.18,99.067,3373.94,14.15
02/14/2020,1.5437,5.16,99.124,3380.16,13.68
02/15/2020,,,,,
02/16/2020,,,,,
02/17/2020,1.5437,4.97,99.003,3380.16,13.68
